BlokSize	Static	Eager	Prior
25	23.71	20.97	12.93
50	22.26	19.99	12.57
100	22.73	19.97	12.50
200	20.56	19.06	12.84
400	19.58	19.16	13.47
600	20.13	21.78	14.44
800	23.46	22.40	15.87
1200	26.30	26.09	18.09
1600	29.98	28.66	20.94
