BlokSize	Static	Eager	Prior
25	3.46	1.87	1.91
50	3.34	1.68	1.63
100	3.16	1.63	1.53
200	3.05	1.57	1.42
300	3.06	1.61	1.43
400	2.66	1.56	1.43
800	2.98	1.69	1.53
1200	2.85	1.73	1.59
1600	3.09	1.78	1.71
