BlokSize	Static	Eager	Prior
100 169.90  97.32   107.59
200	161.45	90.30	96.54
400	167.19	93.42	97.27
600	171.69	95.33	96.79
800	177.44	98.86	97.96
1200	180.81	105.08	100.01
